FINAL POLLEN,,0,0,0,,0,0,0,,0.02,0.02,0.02,,0.02,0.02,0.02,,0.2,0.2,0.2,,0.2,0.2,0.2,,1,1,1,,1,1,1,,2,2,2,,2,2,2,,20,20,20,,20,20,20
Date,Day,C6,C6_2days,C6_extended,,C14,C14_2days,C14_extended,,C1,C1_2days,C1_extended,,C2,C2_2days,C2_extended,,C8,C8_2days,C8_extended,,C10,C10_2days,C10_extended,,C4,C4_2days,C4_extended,,C5,C5_2days,C5_extended,,C7,C7_2days,C7_extended,,C12,C12_2days,C12_extended,,C9,C9_2days,C9_extended,,C11,C11_2days,C11_extended
18/06/2026,1,6.29,12.91,19.01,,4.05,8.31,12.46,,5.55,10.63,16.19,,10.73,18.55,26.72,,2.96,6.11,8.34,,2.77,5.94,9.67,,2.06,4.31,5.68,,9.10,16.85,23.42,,4.44,8.74,13.21,,6.57,12.37,18.48,,2.90,2.67,2.89,,0.47,0.62,0.92
19/06/2026,2,6.61,,,,4.26,,,,5.08,,,,7.83,,,,3.15,,,,3.17,,,,2.26,,,,7.75,,,,4.31,,,,5.80,,,,-0.23,,,,0.15,,
20/06/2026,3,6.10,11.75,,,4.15,8.87,,,5.56,10.83,,,8.17,15.77,,,2.22,5.07,,,3.73,7.22,,,1.36,2.88,,,6.57,13.79,,,4.47,9.24,,,6.11,12.36,,,0.23,0.35,,,0.30,0.41,
21/06/2026,4,5.64,,23.13,,4.72,,17.24,,5.26,,19.98,,7.60,,27.18,,2.85,,12.11,,3.50,,16.00,,1.52,,5.75,,7.22,,24.04,,4.77,,18.76,,6.25,,22.45,,0.12,,0.59,,0.11,,0.73
22/06/2026,5,7.95,17.49,,,6.14,12.52,,,6.81,14.71,,,9.62,19.58,,,4.24,9.26,,,6.10,12.50,,,2.12,4.23,,,8.89,16.82,,,7.24,13.99,,,9.11,16.20,,,0.12,0.47,,,0.21,0.62,
23/06/2026,6,9.55,,,,6.38,,,,7.91,,,,9.96,,,,5.02,,,,6.40,,,,2.11,,,,7.93,,,,6.75,,,,7.08,,,,0.34,,,,0.41,,
24/06/2026,7,13.40,26.70,37.52,,7.90,15.10,19.75,,10.10,19.20,26.88,,14.40,29.00,40.67,,5.40,11.50,15.87,,8.60,17.40,23.52,,2.80,5.30,7.46,,9.20,18.40,25.58,,7.40,16.50,24.17,,8.50,17.80,25.15,,0.20,0.90,1.16,,1.10,1.60,1.47
25/06/2026,8,13.30,,,,7.20,,,,9.10,,,,14.60,,,,6.10,,,,8.80,,,,2.50,,,,9.20,,,,9.10,,,,9.30,,,,0.70,,,,0.50,,
26/06/2026,9,10.82,29.80,,,4.65,15.46,,,7.68,21.90,,,11.67,31.70,,,4.37,,,,6.12,,,,2.16,6.37,,,7.18,,,,7.67,,,,7.35,25.77,,,0.26,1.64,,,-0.13,0.15,
27/06/2026,10,18.98,,70.48,,10.81,,32.42,,14.22,,45.52,,20.03,,75.63,,8.05,16.10,29.70,,11.95,23.90,44.40,,4.21,,12.64,,11.76,23.52,43.12,,11.11,22.23,39.83,,18.42,,55.25,,1.38,,4.14,,0.28,,0.83
28/06/2026,11,23.90,51.50,,,10.81,21.62,,,15.65,31.30,,,26.70,55.60,,,8.05,,,,11.95,,,,4.21,8.43,,,11.76,,,,11.11,,,,18.42,36.83,,,1.38,2.76,,,0.28,0.55,
29/06/2026,12,27.60,,,,10.81,,,,15.65,,,,28.90,,,,13.60,22.90,,,20.50,38.13,,,4.21,,,,19.60,37.13,,,17.60,37.93,,,18.42,,,,1.38,,,,0.28,,
30/06/2026,13,31.23,62.47,93.70,,13.93,27.87,41.80,,20.67,41.33,62.00,,30.53,61.07,91.60,,9.30,,27.90,,17.63,,52.90,,5.83,11.67,17.50,,17.53,,52.60,,20.33,,61.00,,20.23,40.47,60.70,,1.13,2.27,3.40,,0.07,0.13,0.20
01/07/2026,14,31.23,,,,13.93,,,,20.67,,,,30.53,,,,9.30,18.60,,,17.63,35.27,,,5.83,,,,17.53,35.07,,,20.33,40.67,,,20.23,,,,1.13,,,,0.07,,
02/07/2026,15,31.23,58.60,,,13.93,29.23,,,20.67,42.00,,,30.53,56.73,,,9.30,,,,17.63,,,,5.83,11.16,,,17.53,,,,20.33,,,,20.23,47.38,,,1.13,1.71,,,0.07,0.14,
03/07/2026,16,27.37,,82.10,,15.30,,61.20,,21.33,,64.00,,26.20,,104.80,,12.40,24.80,49.60,,20.10,40.20,60.30,,5.33,,21.30,,21.13,42.25,84.50,,25.00,50.00,100.00,,27.15,,108.60,,0.58,,2.30,,0.08,,0.30
04/07/2026,17,27.37,54.73,,,15.30,30.60,,,21.33,42.67,,,26.20,52.40,,,12.40,,,,20.10,,,,5.33,10.65,,,21.13,,,,25.00,,,,27.15,54.30,,,0.58,1.15,,,0.08,0.15,
05/07/2026,18,27.37,,,,15.30,,,,21.33,,,,26.20,,,,12.40,24.80,,,20.10,38.00,,,5.33,,,,21.13,42.25,,,25.00,50.00,,,27.15,,,,0.58,,,,0.08,,
06/07/2026,19,33.80,61.73,,,15.30,32.97,,,28.20,46.87,,,26.20,57.97,,,12.40,,,,17.90,,,,5.33,10.79,,,21.13,,,,25.00,,,,27.15,54.22,,,0.58,1.14,,,0.08,0.34,
07/07/2026,20,27.93,,83.80,,17.67,,53.00,,18.67,,56.00,,31.77,,95.30,,15.57,31.13,46.70,,15.47,30.93,46.40,,5.47,,16.40,,21.27,42.53,63.80,,19.97,39.93,59.90,,27.07,,81.20,,0.57,,1.70,,0.27,,0.80
08/07/2026,21,27.93,55.87,,,17.67,35.33,,,18.67,37.33,,,31.77,63.53,,,15.57,,,,15.47,,,,5.47,10.93,,,21.27,,,,19.97,,,,27.07,54.13,,,0.57,1.13,,,0.27,0.53,
09/07/2026,22,27.93,,,,17.67,,,,18.67,,,,31.77,,,,15.57,35.34,,,15.47,42.69,,,5.47,,,,21.27,39.79,,,19.97,43.82,,,27.07,,,,0.57,,,,0.27,,
10/07/2026,23,25.53,51.05,102.10,,18.50,37.00,74.00,,21.98,43.95,87.90,,34.35,68.70,137.40,,19.78,,79.10,,27.23,,108.90,,7.25,14.50,29.00,,18.53,,74.10,,23.85,,95.40,,25.23,50.45,100.90,,1.30,2.60,5.20,,0.28,0.55,1.10
11/07/2026,24,25.53,,,,18.50,,,,21.98,,,,34.35,,,,19.78,39.55,,,27.23,54.45,,,7.25,,,,18.53,37.05,,,23.85,47.70,,,25.23,,,,1.30,,,,0.28,,
12/07/2026,25,25.53,51.05,,,18.50,37.00,,,21.98,43.95,,,34.35,68.70,,,19.78,,,,27.23,,,,7.25,14.50,,,18.53,,,,23.85,,,,25.23,50.45,,,1.30,2.60,,,0.28,0.55,
13/07/2026,26,25.53,,,,18.50,,,,21.98,,,,34.35,,,,19.78,39.38,,,27.23,53.89,,,7.25,,,,18.53,44.89,,,23.85,48.32,,,25.23,,,,1.30,,,,0.28,,
14/07/2026,27,20.97,41.93,62.90,,20.50,41.00,61.50,,26.43,52.87,79.30,,29.50,59.00,88.50,,19.60,,58.80,,26.67,,80.00,,9.17,18.33,27.50,,26.37,,79.10,,24.47,,73.40,,25.83,51.67,77.50,,0.83,1.67,2.50,,0.00,0.00,0.00
15/07/2026,28,20.97,,,,20.50,,,,26.43,,,,29.50,,,,19.60,39.20,,,26.67,53.33,,,9.17,,,,26.37,52.73,,,24.47,48.93,,,25.83,,,,0.83,,,,0.00,,
16/07/2026,29,20.97,38.87,,,20.50,40.80,,,26.43,50.73,,,29.5,45.70,,,19.60,,,,26.67,,,,9.17,18.17,,,26.37,,,,24.47,,,,25.83,42.83,,,0.83,0.93,,,0.00,0.00,
17/07/2026,30,17.90,,,,20.30,,,,24.30,,,,16.20,,,,14.90,,,,43.20,,,,9.00,,,,24.40,,,,25.40,,,,17.00,,,,0.10,,,,0.00,,
